Temperature,L,R,A_M,Color,Spectral_Class,Type
3146,15,932,16.92,Red,M,0
3511,64,109,17.12,Red,M,0
3225,76,121,19.63,Red,M,0
2935,87,932,16.88,Red,M,0
2861,19,899,16.71,Red,M,0
2856,896,782,19.56,Red,M,0
2731,437,856,18.09,Red,M,0
3095,19,492,10.87,Red,M,1
3607,23,0.38,10.34,Red,M,1
3100,8,0.31,11.17,Red,M,1
2989,87,0.34,13.12,Red,M,1
3542,9,0.62,14.23,Red,M,1
3243,23,0.73,14.75,Red,M,1
3091,81,0.24,11.43,Red,M,1
3598,11,0.56,14.26,Red,M,1
3324,34,0.34,12.23,Red,M,1
3541,13,256,14.33,Red,M,1
13420,59,981,13.67,Blue White,B,2
21020,15,112,11.52,Blue,B,2
18290,13,934,12.78,Blue,B,2
14520,82,972,11.92,Blue White,B,2
11900,67,898,11.38,Blue White,B,2
8924,28,879,14.87,Blue White,A,2
12912,71,945,12.83,Blue White,B,2
14732,11,892,12.89,White,F,2
7723,14,878,14.81,White,A,2
12984,88,996,11.23,Blue White,B,2
29560,188000,06.02,-4.01,Blue White,B,3
8945,38,2.487,0.12,Blue White,A,3
14060,1092,5.745,-2.04,Blue White,A,3
16390,1278,5.68,-3.32,Blue White,B,3
25070,14500,5.92,-3.98,Blue White,B,3
28700,16790,6.4,-4.09,Blue White,B,3
26140,14520,5.49,-3.8,Blue White,B,3
20120,4720,6.78,-3.4,Blue White,B,3
13023,998,6.21,-1.38,Blue White,A,3
37800,202900,6.86,-4.56,Blue,O,3
25390,223000,57,-5.92,Blue,O,4
11567,251000,36,-6.245,Blue,O,4
12675,452000,83,-5.62,Blue,O,4
5752,245000,97,-6.63,Blue,O,4
8927,239000,35,-7.34,Blue,O,4
7282,131000,24,-7.22,Blue,O,4
19923,152000,73,-5.69,Blue,O,4
26373,198000,39,-5.83,Blue,O,4
17383,342900,30,-6.09,Blue,O,4
9373,424520,24,-5.99,Blue,O,4
3570,320000,1480,-7.58,Red,M,5
3500,138000,1420,-8.18,Red,M,5
4287,630000,1315,-9.2,Orange,K,5
26000,316000,1679,-9.1,Blue,B,5
3600,240000,1190,-7.89,Red,M,5
3614,145000,1553,-7.71,Red,M,5
18000,200000,1045,-8.3,Blue,O,5
11000,170000,1779,-9.9,Blue White,B,5
12100,120000,708.9,-7.84,Blue White,B,5
24490,248490,1134.5,-8.24,Blue White,B,5
2831,231,915,16.21,Red,M,0
2914,631,116,18.39,Red,M,0
3419,245,126,17.56,Red,M,0
3218,452,987,17.34,Red,M,0
3453,621,773,17.08,Red,M,0
2889,352,973,16.93,Red,M,0
2968,461,119,17.45,Red,M,0
3484,551,998,16.67,Red,M,0
2778,849,112,19.45,Red,M,0
3523,957,129,16.35,Red,M,0
3462,53,148,11.47,Red,M,1
3257,24,0.46,10.73,Red,M,1
2994,72,0.28,13.45,Red,M,1
3212,16,378,12.854,Red,M,1
3523,54,319,12.43,Red,M,1
3598,27,0.67,13.667,Red,M,1
3142,132,258,14.12,Red,M,1
3496,125,336,14.94,Red,M,1
3324,65,471,12.78,Red,M,1
3463,27,675,14.776,Red,M,1
16790,14,121,12.87,Blue,B,2
15680,122,114,11.92,Blue,B,2
14982,118,113,12.23,Blue,B,2
13340,109,116,12.9,Blue,B,2
18340,134,124,11.22,Blue,B,2
19920,156,142,11.34,Blue,B,2
24020,159,127,10.55,Blue,B,2
23092,132,104,10.18,Blue,B,2
17920,111,106,11.66,Blue,B,2
19360,125,998,11.62,Blue,B,2
22350,12450,6.36,-3.67,Blue White,B,3
10012,552,5.856,13,Blue White,A,3
13089,788,5.992,-0.12,Blue White,A,3
22012,6748,6.64,-2.55,Blue White,B,3
34190,198200,6.39,-4.57,Blue,O,3
32460,173800,6.237,-4.36,Blue,O,3
9320,29,1.91,1.236,Blue White,A,3
19400,10920,06.03,-3.08,Blue White,B,3
17140,883,5.653,-2.64,Blue White,B,3
8250,9.25,1.93,-0.98,yellow-White,F,3
23678,244290,35,-6.27,Blue,O,4
12749,332520,76,-7.02,Blue,O,4
9383,342940,98,-6.98,Blue,O,4
23440,537430,81,-5.975,Blue,O,4
16787,246730,62,-6.35,Blue,O,4
18734,224780,46,-7.45,Blue,O,4
9892,593900,80,-7.262,Blue,O,4
10930,783930,25,-6.224,Blue,O,4
23095,347820,86,-5.905,Blue,O,4
21738,748890,92,-7.346,Blue,O,4
24145,382993,1494,-8.84,Blue White,B,5
38234,272830,1356,-9.29,Blue,O,5
32489,648430,1948.5,-10.84,Blue,O,5
27739,849420,1252,-7.59,Blue White,B,5
21904,748490,1130,-7.67,Blue White,B,5
38940,374830,1356,-9.93,Blue,O,5
30839,834042,1194,-10.63,Blue,O,5
8829,537493,1423,-10.73,White,A,5
9235,404940,1112,-11.23,White,A,5
37882,294903,1783,-7.8,Blue,O,5
